"export-plot data (NetLogo 5.3.1)"
"LiquidityModel.nlogo"
"05/09/2021 16:12:31:243 -0400"

"MODEL SETTINGS"
"institutionaltraderordersizemultipler","tradablepricerangemultiplier","marketmakertradelength","liquiditysupplierordersizemultipler","periodtoendexecution","audittrail","miquantity","#_liquidity_demander","liquidity_demander_arrival_rate","privateviewprice","quntitysale","liquidity_supplier_arrival_rate","#_liquidity_supplier","depthfile","probabilitybuyofinstitutionaltrader","isrational","liquiditydemandertradelength","agentfile","buythreshold","#_market_makers","market_makers_arrival_rate","priceratioadjust","percentpricechangetoordersizemultiple","marketmakerinventorylimit","miperiod","liquiditysuppliertradelength","marketmakerordersizemultipler","probabilitybuyofliqyuiditydemander","#_coordinated_demander","allowcoordinatebuy","liquiditydemanderordersizemultipler","periodtostartexecution"
"10","1.4","30","10","6300","false","0","109","120","98","100","1380","30","false","1","true","60","false","1.02","5","95","0.3","2","1000","6000","240","5","50","112","true","5","6000"

"""Averages Shared Owned"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","5360","-540","770","true","""Institutions""","false","6"

"pen name","pen down?","mode","interval","color","x"
"""MM""","true","0","1","0","4466"
"""Demander""","true","0","1","15","4465"
"""Supplier""","true","0","1","65","4465"
"""Forced""","true","0","1","115","4465"
"""Coordinator""","true","0","1","95","4465"
"""Institutions""","true","0","1","5","4465"

"""MM""",,,,"""Demander""",,,,"""Supplier""",,,,"""Forced""",,,,"""Coordinator""",,,,"""Institutions"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true","0","0","15","true","0","0","65","true","0","0","115","true","0","0","95","true","0","0","5","true"
"1","0","0","true","1","0","15","true","1","0","65","true","1","0","115","true","1","0","95","true","1","0","5","true"
"2","0","0","true","2","0","15","true","2","0","65","true","2","0","115","true","2","0","95","true","2","0","5","true"
"3","0","0","true","3","0","15","true","3","0","65","true","3","0","115","true","3","0","95","true","3","0","5","true"
"4","0","0","true","4","0","15","true","4","0","65","true","4","0","115","true","4","0","95","true","4","0","5","true"
"5","0","0","true","5","0","15","true","5","0","65","true","5","0","115","true","5","0","95","true","5","0","5","true"
"6","0","0","true","6","0.15","15","true","6","0","65","true","6","0","115","true","6","0","95","true","6","0","5","true"
"7","-0.032","0","true","7","0.15","15","true","7","0","65","true","7","0","115","true","7","0","95","true","7","0","5","true"
"8","-0.032","0","true","8","0.15","15","true","8","0","65","true","8","0","115","true","8","0","95","true","8","0","5","true"
"9","-0.032","0","true","9","0.15","15","true","9","0","65","true","9","0","115","true","9","0","95","true","9","0","5","true"
"10","-0.032","0","true","10","0.15","15","true","10","0","65","true","10","0","115","true","10","0","95","true","10","0","5","true"
"11","-0.032","0","true","11","0.15","15","true","11","0","65","true","11","0","115","true","11","0","95","true","11","0","5","true"
"12","-0.032","0","true","12","0.15","15","true","12","0","65","true","12","0","115","true","12","0","95","true","12","0","5","true"
"13","-0.032","0","true","13","0.15","15","true","13","0","65","true","13","0","115","true","13","0","95","true","13","0","5","true"
"14","-0.032","0","true","14","0.15","15","true","14","0","65","true","14","0","115","true","14","0","95","true","14","0","5","true"
"15","-0.032","0","true","15","0.15","15","true","15","0","65","true","15","0","115","true","15","0","95","true","15","0","5","true"
"16","-0.032","0","true","16","0.15","15","true","16","0","65","true","16","0","115","true","16","0","95","true","16","0","5","true"
"17","-0.032","0","true","17","0.15","15","true","17","0","65","true","17","0","115","true","17","0","95","true","17","0","5","true"
"18","-0.032","0","true","18","0.15","15","true","18","0","65","true","18","0","115","true","18","0","95","true","18","0","5","true"
"19","-0.032","0","true","19","0.15","15","true","19","0","65","true","19","0","115","true","19","0","95","true","19","0","5","true"
"20","-0.032","0","true","20","0.15","15","true","20","0","65","true","20","0","115","true","20","0","95","true","20","0","5","true"
"21","-0.032","0","true","21","0.29","15","true","21","0","65","true","21","0","115","true","21","-1.4000000000000001","95","true","21","0","5","true"
"22","-0.032","0","true","22","0.29","15","true","22","0","65","true","22","0","115","true","22","-1.4000000000000001","95","true","22","0","5","true"
"23","-0.032","0","true","23","0.29","15","true","23","0","65","true","23","0","115","true","23","-1.4000000000000001","95","true","23","0","5","true"
"24","-0.032","0","true","24","0.29","15","true","24","0","65","true","24","0","115","true","24","-1.4000000000000001","95","true","24","0","5","true"
"25","-0.032","0","true","25","0.29","15","true","25","0","65","true","25","0","115","true","25","-1.4000000000000001","95","true","25","0","5","true"
