"export-plot data (NetLogo 5.3.1)"
"LiquidityModel.nlogo"
"05/09/2021 16:20:30:528 -0400"

"MODEL SETTINGS"
"institutionaltraderordersizemultipler","tradablepricerangemultiplier","marketmakertradelength","liquiditysupplierordersizemultipler","periodtoendexecution","audittrail","miquantity","#_liquidity_demander","liquidity_demander_arrival_rate","privateviewprice","quntitysale","liquidity_supplier_arrival_rate","#_liquidity_supplier","depthfile","probabilitybuyofinstitutionaltrader","isrational","liquiditydemandertradelength","agentfile","buythreshold","#_market_makers","market_makers_arrival_rate","priceratioadjust","percentpricechangetoordersizemultiple","marketmakerinventorylimit","miperiod","liquiditysuppliertradelength","marketmakerordersizemultipler","probabilitybuyofliqyuiditydemander","#_coordinated_demander","allowcoordinatebuy","liquiditydemanderordersizemultipler","periodtostartexecution"
"10","1.4","30","10","6300","false","0","109","120","98","100","1380","30","false","1","true","60","false","1.02","5","95","0.3","2","1000","6000","240","5","50","112","true","5","6000"

"""Market Depth"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","5360","0","35200","true","""Ask""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Bid""","true","0","1","0","4466"
"""Ask""","true","0","1","15","4465"

"""Bid""",,,,"""Ask"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true","0","3235","15","true"
"1","3261","0","true","1","3235","15","true"
"2","3266","0","true","2","3252","15","true"
"3","3214","0","true","3","3268","15","true"
"4","3183","0","true","4","3278","15","true"
"5","3183","0","true","5","3242","15","true"
"6","3199","0","true","6","3200","15","true"
"7","3199","0","true","7","3200","15","true"
"8","3199","0","true","8","3200","15","true"
"9","3199","0","true","9","3205","15","true"
"10","3199","0","true","10","3199","15","true"
"11","3193","0","true","11","3199","15","true"
"12","3193","0","true","12","3230","15","true"
"13","3187","0","true","13","3209","15","true"
"14","3178","0","true","14","3225","15","true"
"15","3162","0","true","15","3209","15","true"
"16","3173","0","true","16","3234","15","true"
"17","3173","0","true","17","3259","15","true"
"18","3173","0","true","18","3244","15","true"
"19","3173","0","true","19","3182","15","true"
"20","3230","0","true","20","3182","15","true"
"21","3210","0","true","21","3182","15","true"
"22","3183","0","true","22","3172","15","true"
"23","3203","0","true","23","3172","15","true"
"24","3203","0","true","24","3172","15","true"
"25","3203","0","true","25","3172","15","true"
"26","3203","0","true","26","3183","15","true"
"27","3165","0","true","27","3167","15","true"
"28","3149","0","true","28","3161","15","true"
"29","3165","0","true","29","3140","15","true"
"30","3176","0","true","30","3140","15","true"
"31","3159","0","true","31","3104","15","true"
"32","3091","0","true","32","3104","15","true"
"33","3091","0","true","33","3073","15","true"
"34","3087","0","true","34","3061","15","true"
"35","3065","0","true","35","3035","15","true"
"36","3049","0","true","36","3029","15","true"
"37","3023","0","true","37","3029","15","true"
"38","3023","0","true","38","3029","15","true"
"39","3023","0","true","39","2973","15","true"
"40","3029","0","true","40","2978","15","true"
"41","3029","0","true","41","2993","15","true"
"42","2945","0","true","42","3044","15","true"
"43","2920","0","true","43","3029","15","true"
"44","2920","0","true","44","3029","15","true"
"45","2915","0","true","45","3029","15","true"
"46","2878","0","true","46","3024","15","true"
"47","2878","0","true","47","3019","15","true"
"48","2898","0","true","48","2940","15","true"
"49","2866","0","true","49","2930","15","true"
"50","2831","0","true","50","2941","15","true"
"51","2795","0","true","51","2889","15","true"
"52","2783","0","true","52","2908","15","true"
"53","2799","0","true","53","2908","15","true"
"54","2774","0","true","54","2899","15","true"
"55","2743","0","true","55","2911","15","true"
"56","2737","0","true","56","2920","15","true"
"57","2731","0","true","57","2929","15","true"
"58","2742","0","true","58","2954","15","true"
"59","2742","0","true","59","2943","15","true"
"60","2758","0","true","60","2890","15","true"
"61","2774","0","true","61","2884","15","true"
"62","2768","0","true","62","2884","15","true"
"63","2768","0","true","63","2824","15","true"
"64","2794","0","true","64","2803","15","true"
"65","2768","0","true","65","2824","15","true"
"66","2743","0","true","66","2835","15","true"
"67","2743","0","true","67","2783","15","true"
"68","2743","0","true","68","2778","15","true"
"69","2753","0","true","69","2793","15","true"
"70","2741","0","true","70","2773","15","true"
"71","2746","0","true","71","2763","15","true"
"72","2714","0","true","72","2754","15","true"
"73","2682","0","true","73","2754","15","true"
"74","2707","0","true","74","2728","15","true"
"75","2723","0","true","75","2728","15","true"
"76","2723","0","true","76","2732","15","true"
"77","2670","0","true","77","2705","15","true"
"78","2670","0","true","78","2721","15","true"
"79","2644","0","true","79","2689","15","true"
"80","2659","0","true","80","2691","15","true"
"81","2632","0","true","81","2705","15","true"
"82","2638","0","true","82","2633","15","true"
"83","2654","0","true","83","2643","15","true"
"84","2654","0","true","84","2617","15","true"
"85","2623","0","true","85","2637","15","true"
"86","2617","0","true","86","2600","15","true"
"87","2642","0","true","87","2600","15","true"
"88","2642","0","true","88","2635","15","true"
"89","2580","0","true","89","2655","15","true"
"90","2580","0","true","90","2638","15","true"
"91","2555","0","true","91","2638","15","true"
"92","2528","0","true","92","2609","15","true"
"93","2538","0","true","93","2620","15","true"
"94","2527","0","true","94","2583","15","true"
"95","2544","0","true","95","2583","15","true"
"96","2544","0","true","96","2567","15","true"
"97","2550","0","true","97","2555","15","true"
"98","2498","0","true","98","2549","15","true"
"99","2477","0","true","99","2537","15","true"
"100","2425","0","true","100","2537","15","true"
"101","2425","0","true","101","2557","15","true"
"102","2425","0","true","102","2510","15","true"
"103","2425","0","true","103","2510","15","true"
"104","2425","0","true","104","2509","15","true"
"105","2461","0","true","105","2505","15","true"
"106","2424","0","true","106","2464","15","true"
"107","2407","0","true","107","2495","15","true"
"108","2438","0","true","108","2489","15","true"
"109","2427","0","true","109","2409","15","true"
"110","2319","0","true","110","2393","15","true"
"111","2298","0","true","111","2418","15","true"
"112","2298","0","true","112","2418","15","true"
"113","2298","0","true","113","2476","15","true"
"114","2213","0","true","114","2470","15","true"
"115","2160","0","true","115","2462","15","true"
"116","2171","0","true","116","2447","15","true"
"117","2171","0","true","117","2447","15","true"
"118","2171","0","true","118","2427","15","true"
"119","2171","0","true","119","2477","15","true"
"120","2176","0","true","120","2456","15","true"
"121","2212","0","true","121","2456","15","true"
"122","2212","0","true","122","2456","15","true"
"123","2212","0","true","123","2398","15","true"
