"export-plot data (NetLogo 5.3.1)"
"LiquidityModel.nlogo"
"05/09/2021 16:20:14:002 -0400"

"MODEL SETTINGS"
"institutionaltraderordersizemultipler","tradablepricerangemultiplier","marketmakertradelength","liquiditysupplierordersizemultipler","periodtoendexecution","audittrail","miquantity","#_liquidity_demander","liquidity_demander_arrival_rate","privateviewprice","quntitysale","liquidity_supplier_arrival_rate","#_liquidity_supplier","depthfile","probabilitybuyofinstitutionaltrader","isrational","liquiditydemandertradelength","agentfile","buythreshold","#_market_makers","market_makers_arrival_rate","priceratioadjust","percentpricechangetoordersizemultiple","marketmakerinventorylimit","miperiod","liquiditysuppliertradelength","marketmakerordersizemultipler","probabilitybuyofliqyuiditydemander","#_coordinated_demander","allowcoordinatebuy","liquiditydemanderordersizemultipler","periodtostartexecution"
"10","1.4","30","10","6300","false","0","109","120","98","100","1380","30","false","1","true","60","false","1.02","5","95","0.3","2","1000","6000","240","5","50","112","true","5","6000"

"""Volume"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","456","0","1370","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","1","1","0","446"

"""default"""
"x","y","color","pen down?"
"0","0","0","true"
"1","16","0","true"
"2","21","0","true"
"3","43","0","true"
"4","127","0","true"
"5","116","0","true"
"6","28","0","true"
"7","91","0","true"
"8","67","0","true"
"9","112","0","true"
"10","87","0","true"
"11","134","0","true"
"12","239","0","true"
"13","21","0","true"
"14","95","0","true"
"15","43","0","true"
"16","60","0","true"
"17","44","0","true"
"18","132","0","true"
"19","43","0","true"
"20","59","0","true"
"21","59","0","true"
"22","135","0","true"
"23","148","0","true"
"24","34","0","true"
"25","54","0","true"
"26","168","0","true"
"27","53","0","true"
"28","218","0","true"
"29","49","0","true"
"30","32","0","true"
"31","70","0","true"
"32","50","0","true"
"33","158","0","true"
"34","100","0","true"
"35","88","0","true"
"36","129","0","true"
"37","97","0","true"
"38","207","0","true"
"39","123","0","true"
"40","85","0","true"
"41","17","0","true"
"42","39","0","true"
"43","96","0","true"
"44","68","0","true"
"45","214","0","true"
"46","42","0","true"
"47","134","0","true"
"48","115","0","true"
"49","102","0","true"
"50","71","0","true"
"51","70","0","true"
"52","32","0","true"
"53","89","0","true"
"54","102","0","true"
"55","149","0","true"
"56","32","0","true"
"57","117","0","true"
"58","112","0","true"
"59","58","0","true"
"60","118","0","true"
"61","35","0","true"
"62","85","0","true"
"63","96","0","true"
"64","154","0","true"
"65","47","0","true"
"66","111","0","true"
"67","59","0","true"
"68","231","0","true"
"69","90","0","true"
"70","75","0","true"
"71","182","0","true"
"72","105","0","true"
"73","110","0","true"
"74","158","0","true"
"75","52","0","true"
